Temp?ature1	Temp?ature2	Temp?ature3	Temp?ature4	Temp?ature5	Temp?ature6	Temp?ature7
80.00807	19.17217	81.21769	239.65922	80.77865	9.83028	9.83817
80.07379	19.14154	81.20411	239.64932	80.79223	9.82929	9.83817
80.05862	19.14664	81.18601	239.57014	80.81938	9.82995	9.83784
80.01312	19.15175	81.14074	239.5454	80.76507	9.83028	9.8385
80.04345	19.14664	81.19053	239.61963	80.8058	9.82962	9.83784
80.02829	19.14664	81.22674	239.54045	80.75149	9.82962	9.83784
80.02829	19.15686	81.1498	239.56024	80.76054	9.83061	9.83817
80.01818	19.15175	81.24485	239.67407	80.75602	9.82962	9.83883
80.0384	19.14154	81.13622	239.58004	80.73339	9.82962	9.83883
80.00807	19.16707	81.2358	239.59489	80.66097	9.83061	9.8385
80.01818	19.15175	81.19959	239.57509	80.80128	9.82962	9.83883
80.04851	19.15175	81.19053	239.42168	80.77412	9.83028	9.83817
80.03334	19.16707	81.19053	239.22868	80.75149	9.83028	9.83718
80.00301	19.12622	81.20411	239.27816	80.73339	9.82995	9.83817
80.03334	19.17728	81.19053	239.25837	80.72433	9.83061	9.83817
80.00301	19.16707	81.26748	239.21878	80.80128	9.83061	9.83686
79.98279	19.09559	81.24937	239.21878	80.72886	9.82929	9.83817
80.02323	19.12622	81.2358	239.22373	80.87822	9.82929	9.8385
80.05357	19.15175	81.17695	239.10001	80.73339	9.82995	9.83817
80.02323	19.17217	81.22222	239.1297	80.7696	9.82962	9.83784
80.02829	19.16196	81.2358	239.17424	80.73339	9.82897	9.83883
80.05862	19.18239	81.19053	239.09011	80.79223	9.83028	9.83718
80.00301	19.14154	81.19053	239.24847	80.7696	9.82897	9.83751
80.02829	19.13133	81.17243	239.10001	80.81033	9.82995	9.83784
80.00301	19.15175	81.17695	239.17424	80.80128	9.82995	9.83817
80.00301	19.15175	81.17695	239.26827	80.74244	9.82929	9.83784
79.99796	19.14664	81.15432	239.22868	80.86465	9.82929	9.8385
80.00301	19.14664	81.12717	239.14949	80.66549	9.83028	9.83784
80.00807	19.15175	81.26295	239.22373	80.64739	9.82962	9.83817
80.05862	19.16196	81.2539	239.16929	80.81033	9.82962	9.83817
80.00807	19.13643	81.22674	239.07031	80.62928	9.82995	9.83718
80.00301	19.14154	81.13622	239.06537	80.76054	9.83028	9.83751
80.04851	19.14664	81.19506	239.17424	80.72886	9.82962	9.83784
80.0384	19.17217	81.20864	239.02083	80.86012	9.82995	9.83817
80.0384	19.16196	81.19053	239.02083	80.7017	9.83028	9.83817
80.0384	19.14154	81.17243	239.02578	80.8058	9.82962	9.83784
80.00807	19.14664	81.19959	239.18909	80.79675	9.83028	9.83817
80.01312	19.15686	81.15885	239.08021	80.71528	9.82864	9.83817
80.02323	19.15175	81.23127	239.04062	80.72433	9.83028	9.83883
80.00807	19.17728	81.1679	239.20393	80.71528	9.83094	9.83817
80.01312	19.13643	81.19053	239.18909	80.71075	9.82831	9.8385
80.02829	19.15686	81.18148	239.26827	80.75149	9.83061	9.83817
80.01818	19.16707	81.18148	239.14455	80.77412	9.83061	9.83784
80.03334	19.12622	81.17243	239.1396	80.74696	9.82864	9.83718
80.01818	19.13643	81.18601	239.1297	80.71981	9.83028	9.83784
79.99796	19.17728	81.24485	239.28806	80.81033	9.83028	9.83784
80.0384	19.14664	81.1498	239.19403	80.77865	9.82962	9.8385
80.04345	19.14154	81.15885	239.14949	80.74244	9.83028	9.83883
80.0384	19.16196	81.23127	239.17919	80.75602	9.83061	9.8385
80.00807	19.15175	81.19506	239.15444	80.72886	9.82962	9.83949
80.05862	19.14664	81.24485	239.05547	80.77412	9.83028	9.8385
80.0384	19.15175	81.19053	238.907	80.71981	9.83028	9.83817
80.03334	19.15686	81.20411	238.86247	80.71981	9.82897	9.83817
80.05357	19.14664	81.18601	238.62492	80.78317	9.82995	9.83817
80.00301	19.14154	81.12717	238.38243	80.71981	9.82995	9.83751
80.00301	19.17728	81.1498	238.29335	80.78317	9.82962	9.8385
