Temp?ature1	Temp?ature2	Temp?ature3	Temp?ature4	Temp?ature5	Temp?ature6	Temp?ature7
80.20017	19.23344	80.81486	232.12718	80.45729	9.84343	9.85264
80.17489	19.18749	80.83296	232.07274	80.37581	9.84409	9.85165
80.20017	19.1977	80.90538	232.02325	80.35771	9.84409	9.85264
80.22039	19.24366	80.82391	232.14697	80.4075	9.84507	9.85198
80.21028	19.20281	80.9778	231.96882	80.31245	9.84244	9.85264
80.20017	19.22323	80.89633	232.06779	80.40297	9.84475	9.85165
80.17489	19.21302	80.87822	232.0282	80.47086	9.84277	9.85165
80.19511	19.24876	80.8918	232.11233	80.35771	9.84409	9.85132
80.20522	19.1977	80.89633	231.95892	80.39392	9.84343	9.85198
80.22039	19.24876	80.83749	231.99356	80.44371	9.84442	9.85198
80.20522	19.23855	80.82391	231.99851	80.53423	9.84277	9.85165
80.20017	19.20792	80.86012	231.91438	80.35318	9.84376	9.85198
80.16478	19.23855	80.83296	231.8451	80.36676	9.84376	9.85132
80.19005	19.24876	80.82844	231.90943	80.42108	9.84442	9.85198
80.14961	19.21302	80.92801	231.84015	80.37581	9.84376	9.85264
80.21028	19.21302	80.82844	231.82035	80.4075	9.84409	9.85264
80.16478	19.21813	80.83749	231.83025	80.48444	9.84409	9.85264
80.21028	19.22323	80.95064	231.77581	80.37129	9.84376	9.85231
80.17994	19.23344	80.85107	231.8352	80.43918	9.84409	9.85132
80.20017	19.22323	80.88275	231.92923	80.49802	9.84244	9.85231
80.16983	19.24876	80.8918	231.96882	80.41655	9.84442	9.85231
80.20522	19.1926	80.86012	231.94407	80.40297	9.84277	9.85132
80.20017	19.25387	80.94612	231.95397	80.45729	9.84475	9.85165
80.20017	19.22834	80.84201	231.86489	80.34866	9.8431	9.85231
80.19005	19.23344	80.82844	232.05789	80.46181	9.84442	9.85264
80.16478	19.22323	80.91443	231.90943	80.37129	9.84376	9.85264
80.16478	19.25387	80.84654	231.88964	80.40297	9.84442	9.85231
80.17994	19.20792	80.82844	231.93912	80.34866	9.84409	9.85132
80.2305	19.21302	80.81033	231.70653	80.4935	9.84376	9.85198
80.19511	19.21302	80.85559	231.74117	80.36676	9.84343	9.85198
80.20522	19.1926	80.99138	231.72138	80.36224	9.84343	9.85231
80.16983	19.26919	80.86917	231.71643	80.39845	9.84442	9.85231
80.21533	19.25897	80.84201	231.66199	80.39392	9.84212	9.85264
80.20522	19.27429	80.83296	231.52343	80.36676	9.84475	9.85198
80.21028	19.23855	80.7696	231.51353	80.38939	9.84244	9.85264
80.20017	19.25897	80.88275	231.4393	80.42108	9.84409	9.85231
80.15972	19.24366	80.84654	231.47889	80.46181	9.84376	9.85296
80.16478	19.22323	80.87822	231.50858	80.41202	9.84442	9.85231
80.20522	19.25897	80.86012	231.40466	80.43918	9.84475	9.85165
80.19511	19.1977	80.81938	231.40466	80.35771	9.84442	9.85198
80.185	19.22834	80.89633	231.37001	80.39845	9.84475	9.85231
80.15972	19.24876	80.80128	231.36507	80.36224	9.84343	9.85329
80.19511	19.24876	80.85107	231.49868	80.41655	9.84475	9.85264
80.22039	19.24876	80.80128	231.51848	80.34866	9.84244	9.85296
80.17489	19.22323	80.81486	231.51353	80.46181	9.84442	9.85296
80.19005	19.22834	80.8058	231.67684	80.47539	9.84376	9.85296
80.20522	19.27429	80.85559	231.66199	80.39392	9.84376	9.85231
80.19511	19.23855	80.84201	231.69168	80.38939	9.84343	9.85264
80.21533	19.22323	80.87822	231.66199	80.39392	9.84475	9.85296
80.16478	19.20792	80.85107	231.6323	80.41202	9.84343	9.85296
80.23555	19.22834	80.80128	231.65704	80.39392	9.84409	9.85264
80.185	19.24876	80.85107	231.74117	80.48444	9.84442	9.85198
80.14456	19.20281	80.8737	231.74117	80.50255	9.84343	9.85329
80.16983	19.22323	80.7696	231.85004	80.43918	9.84442	9.85165
80.22544	19.20281	80.84654	231.78571	80.39392	9.84343	9.85231
80.15467	19.1926	80.82391	231.8253	80.46181	9.84409	9.85231
80.15972	19.20281	80.86465	231.8253	80.3396	9.84376	9.85165
80.20017	19.26919	80.8918	231.72138	80.48444	9.84376	9.85165
80.19511	19.22323	80.85107	231.84015	80.36224	9.84409	9.85066
80.20522	19.24366	80.89633	231.93417	80.47539	9.84409	9.85231
80.185	19.25897	80.77412	231.91933	80.40297	9.84409	9.85198
80.19511	19.20281	80.84201	231.94407	80.47539	9.84212	9.85132
80.19511	19.23344	80.8737	231.99356	80.41655	9.84442	9.85264
80.16983	19.22834	80.84654	231.97376	80.45276	9.84343	9.85198
80.19511	19.22834	80.80128	231.96387	80.46634	9.84442	9.85231
80.15467	19.24366	80.86465	231.96387	80.35771	9.84343	9.85231
80.185	19.20792	80.81033	231.96387	80.39845	9.84343	9.85296
80.14456	19.25387	81.00496	231.85004	80.37581	9.84442	9.85165
80.17994	19.21302	80.85107	231.95892	80.45276	9.8431	9.85231
80.17994	19.21813	80.88728	232.05789	80.34866	9.84409	9.85132
80.17994	19.21813	80.81033	232.08759	80.39392	9.8431	9.85362
80.16983	19.23855	80.88728	232.11233	80.45729	9.84409	9.85296
80.19511	19.22834	80.84654	232.11233	80.48444	9.8431	9.85296
80.20017	19.21813	80.88275	232.00841	80.49802	9.84409	9.85296
80.17994	19.23855	80.83296	232.10738	80.41202	9.84376	9.85296
80.185	19.25387	80.84201	231.94407	80.50255	9.84343	9.85264
80.21028	19.26408	80.8737	232.19646	80.38487	9.84409	9.85231
80.185	19.20792	80.81486	232.05294	80.41202	9.84343	9.85231
80.185	19.24876	80.92349	232.08264	80.44823	9.84442	9.85198
80.22039	19.25387	80.78317	232.00841	80.38487	9.8431	9.85165
80.17489	19.26919	80.86465	231.89953	80.36676	9.84442	9.85198
80.20522	19.22834	80.80128	231.94407	80.40297	9.84343	9.85362
80.19005	19.22323	80.84201	231.89458	80.48444	9.84343	9.85296
80.16478	19.18749	80.84654	231.86489	80.34413	9.84376	9.85296
80.20017	19.21813	80.88728	231.88469	80.42108	9.84409	9.85231
80.23555	19.20792	80.78317	231.8352	80.38487	9.84409	9.85165
80.185	19.22834	80.94612	231.93912	80.41202	9.84442	9.85198
80.21028	19.21813	80.9778	231.75107	80.39392	9.84409	9.85231
80.23555	19.22323	80.83296	231.72138	80.39845	9.84442	9.85198
80.21533	19.23855	80.86465	231.71643	80.38487	9.84475	9.85132
80.19511	19.20281	80.8737	231.87974	80.41655	9.84442	9.85231
80.19005	19.20281	80.82844	231.8253	80.50255	9.84475	9.85198
80.20522	19.1926	80.8737	231.72138	80.40297	9.84244	9.85231
80.19511	19.24366	80.96422	231.80056	80.39392	9.84409	9.85264
80.185	19.22323	80.85107	231.71643	80.42108	9.84244	9.85395
80.20017	19.23855	80.83749	231.65704	80.40297	9.84409	9.85198
80.22039	19.26408	80.84654	231.54322	80.49802	9.8431	9.85231
80.22039	19.22834	80.90538	231.61745	80.35318	9.84442	9.85165
80.22039	19.20792	80.81033	231.60756	80.37129	9.84343	9.85198
80.21533	19.22834	80.86012	231.38486	80.39845	9.84409	9.85231
80.17994	19.18749	80.81938	231.47394	80.40297	9.84409	9.85165
80.21533	19.23855	80.90086	231.37001	80.38939	9.84343	9.85296
80.20522	19.24876	80.83296	231.43435	80.41202	9.84376	9.85231
80.25577	19.23855	80.86917	231.49373	80.43918	9.84343	9.85296
80.22039	19.25387	80.82844	231.60261	80.47086	9.84376	9.85198
80.16983	19.22323	80.86917	231.68179	80.38939	9.84277	9.85264
80.20017	19.23344	80.86465	231.60261	80.35771	9.84507	9.85198
80.22544	19.21813	80.88275	231.66694	80.47086	9.8431	9.85198
80.19511	19.23855	80.8737	231.71643	80.37581	9.84409	9.85132
80.185	19.22323	80.75149	231.81045	80.4256	9.84343	9.85132
80.185	19.22834	80.86465	231.71148	80.44823	9.84409	9.85198
80.16983	19.24366	80.86917	231.81045	80.41655	9.84409	9.85165
80.2305	19.1926	80.87822	231.89458	80.4075	9.84507	9.85231
80.185	19.20281	80.88275	231.91438	80.37581	9.84507	9.85198
80.2305	19.1977	80.84654	231.88469	80.40297	9.84376	9.85329
80.17994	19.24366	80.87822	231.97871	80.4256	9.84409	9.85198
80.21533	19.22834	80.82391	231.95397	80.38487	9.84277	9.85231
80.21533	19.24366	80.83749	232.048	80.39392	9.84475	9.85264
